,perma1,perma2,perma4,perma5,perma6,perma8,perma9,perma10,perma13,perma14,perma16,perma19,perma22,perma23,perma24,perma26,perma27,perma29,perma30,perma33,perma34,perma35,perma36,perma37,perma38,perma41,perma44,perma45,perma46,perma49,perma51,perma52,perma53,perma54,perma55,perma57,perma58,perma59
Sleep_wakeuptime,6.858296818181821,-0.0007830856425256447,0.10992110193889582,0.991762001168065,-1.5440200357494915,0.0,1.9257118943160192,-8.319592823549897,-0.5647807122764011,0.0011406322804057216,-0.1672894706659737,0.2757556680424725,-0.12945634558055355,0.0,0.0,0.47891814814814737,0.0,-0.49887515940179905,0.0,0.06943161782312675,0.8895194115518018,-0.3731041666666697,-4.0371746350005693e-17,-0.00012375087078907512,0.3876378411362951,-0.048164778468526216,0.6910248833629273,0.572550868473203,0.33672551432782616,1.3832848831417321,0.0,0.0,0.15754930555556051,0.0003019321258208266,-0.15249411535477425,-0.08628689235747036,1.6836991979836835,0.3203747481932426
Diet_satisfaction,0.3305467508417463,0.000697888475000376,-0.09665805945416532,0.16078622156347064,-0.7573648685469943,0.0,0.06812115071356958,2.510222120698953,0.003999999999998172,-0.0011681054139975782,0.0025233787455440637,1.28102211836287,0.40873529044226115,0.0,0.0,,0.12745463183786698,11.272159624453552,0.0,0.12795787190560703,1.0826890741655484,-0.12600416666666547,-0.11907267833254162,0.005772620718015157,0.6675533677070243,-0.020519105125385868,-0.09199719765441763,,0.7152959471480687,0.17023266468749132,0.0,0.844408909725315,0.07899861111111184,-4.644860854701614e-05,-0.8106642880941664,0.07744781003993126,-0.6467341882399285,
past_day_exercise_mild,0.29642648148147943,0.08135702118021577,-1.2840380156943052,0.5807136423076975,-2.1609060319851037,0.0,-0.15005279544509662,0.7993801025143423,-1.5999999999999965,0.01723175850674307,-1.985497513273089,0.014934014702454436,-0.19186344595648963,-0.5524934895857928,0.0,,-0.017285869951938884,2.0460763637638655,0.0,-0.08108748810147434,-0.13966319095806476,-0.2034756944444464,1.6263052894343901,-0.011084742150905692,-0.8095738778174723,0.17114623319214564,0.12800778858342612,-0.4181388829997223,1.669457605146369,0.16284605800084984,2.2751782813359984,-1.0339912246259193,0.33030555555555957,0.0013109007060052942,1.4514226971029152,0.9499962023841473,0.4643797226783065,-0.17991943681096034
Breath_response,0.10587653198652545,0.004221041378711829,0.11989838422038658,-0.5031871801737136,-0.10607306673327938,0.0,2.6594268108986303,-4.467411806418914,0.00825823971698203,0.010564561823182285,-0.21502953387090284,-0.20440023280879552,0.22335921221211752,0.0,0.0,0.39757308641975353,0.0,-0.0608685801044985,0.0,0.2148284548053523,1.4229545843083662,-2.057334027777779,0.0,0.0002278020503134145,-0.758905801705003,-0.29573202655645303,0.023816356237086667,4.896339834493429,2.4196119039233928,-0.024507731146153983,0.0,0.0,0.24071250000000294,-0.016292016834386913,-0.38207144576824503,-0.5840378822811809,1.009329774408652,1.3789727995188732
Sleep_bedtime,0.10321855218855147,-0.0003692227627563208,-1.7588461531301776,0.03540023652320837,-1.429067733088413,0.0,0.0785354147953076,-9.331795773280566,-0.17251359903688707,-0.0011354794520139952,-0.16497616416597005,-1.2091668967838627,0.42590638816580534,-0.02245650830421353,0.0,-0.09984141975308386,-0.3551682623773704,-10.142539158233618,0.0001733781059209214,-0.01847031145326638,-0.679876719740226,0.7579201388888985,0.8687016216790093,0.00018968627539374015,0.40017637792451427,-0.00490577168227695,-1.4874007435965302,-1.4809542897700902,-2.1708857329434452,-0.19532559611377642,-1.0504661351698836,0.0,-0.11024791666667044,0.0009014546522655943,0.011882704674030674,0.8648950984931868,1.1682161642026931,-0.18108701247618886
Reflect_totaltime,0.09609880471380318,-0.007630547761732259,-0.3305014754817977,-0.5423704571132695,-1.0644083566469051,0.0,-1.1039375130779663,1.176076833814638,-0.002222065615267943,-4.333661637140754e-05,-0.41535982205562894,0.0,-0.06463495178714113,0.0,0.0,-0.33279456790123196,-0.18030528584162997,-0.37524464542934144,0.0,1.1795773003032737,0.9355378505711459,0.0,0.0,0.006054671341888145,-0.16372771613318807,-0.019487722473174072,0.14706248003555716,0.41869065773967995,0.2949356703307742,0.5179639245184943,-2.7755575615628914e-17,-4.4408920985006264e-17,0.284371527777779,-0.0009057600808130847,0.3490161864867129,-0.08455497606921242,2.220446049250313e-16,-0.023427554753809247
Exercise_satisfaction,0.07992474747474422,0.020017524806649582,0.2421005576116665,-0.4541805936482938,-0.7747515060914835,0.0,0.5836242941035555,4.650783788241703,-0.006666666666665821,0.007267453833150439,0.07496074074400369,0.12070155283205558,0.41323285942508364,0.0,0.0,,-0.21701423898718772,-1.4921139641239671,-0.4801759887456484,-4.079859524767968,0.6532039200455222,-0.6012736111111139,-1.007564840319641,0.0017551604273298158,0.434484870807042,-0.0006156211487193895,-0.07882078922198013,,0.5694075155094603,0.1012921919417231,0.0,-0.30503587070899857,0.023633333333325623,0.00017225687616193174,-0.9933870577155612,-4.3704426410388395,0.1314525673082787,
Reflect_activetime,0.06271867845117714,-0.008147887368321838,-0.18812120572529134,0.23883587177744442,-0.9658711649834351,0.0,1.3598041387495863,1.1102230246251565e-16,0.00903117941874615,-0.00014182648626754168,0.005921205225487863,0.0,0.08894010138448266,0.0,0.0,0.009278271604940335,-0.056710700887079246,-2.9933647770682006,0.0,-0.026795407033394236,0.46392625351637634,0.0,0.024516340399827516,0.0059608356372673876,0.47810035526954875,0.0447329043367152,-0.04960383862998525,0.6894684175940092,0.27890955126328193,0.5183243239170587,-2.7755575615628914e-17,0.0,0.4030284722222165,0.0006792922509282806,1.232595164407831e-32,0.6500626868864537,8.635067969306772e-17,0.016889475114899362
Sleep_duration,0.05455089225589186,-0.00485396036125198,0.3797344491828351,0.7497644722713116,2.1073785624600267,0.0,0.23916000354991498,1.1102230246251565e-16,-0.23662702154847687,-0.00012359464570325013,-0.8354894940049977,1.980107643374046,0.347574314786384,0.0,0.0,0.01069604938271999,0.0,-1.2868692749019737,0.0,-0.512492134445638,0.6622627955235189,-0.2751229166666697,0.0,0.0011344265934055179,0.09605205001026235,-0.047828433247797356,-0.32012677002470863,-0.7725417190226198,0.6145915833232954,-1.2456883345963592,0.0,0.0,-1.5990437500000017,0.00029476209583648584,0.11231442306989012,2.036479659643745,-5.382959119221618,0.05795340332992678
time_of_day,0.022480454545448926,-0.29016918296715555,0.07109170787507663,0.02538982853214017,0.6232969926566967,0.0,-0.07233063276944306,1.0228503513339873,-0.14121581811251133,-0.0003426179129554905,-1.012887375497671,0.35229430006456197,-0.3091030717100521,0.0381318142359206,0.18692800853096378,-0.22940851851852098,-0.565541186014518,-1.220104892405125,-0.19607637201388686,0.7313965341149643,-0.1759120376862287,0.0141812500000002,0.24681650375096073,0.23268234098993007,-0.24783094700504343,0.48601056131506604,0.17829824865929977,-0.27319147460068977,-0.4535192992837051,-0.04174670700858919,0.17825414284871544,0.976914968553467,0.011268055555555767,-0.0013326631612446127,0.12473628748390886,0.22683207355587803,0.4156323891010092,0.3024353663609027
Connect_chattime,0.01983475589225208,0.015541245068138494,-0.17969583966144623,-0.21429628488896227,-0.3683107341030897,,-0.09323480703075271,3.084386574746458,0.057996153428876984,0.00374076074538275,1.0418420612101893,-0.3009609466061105,-0.24530477906121198,0.0,0.0,0.0,-0.07934386242772244,3.6057521870624765,0.0,-0.14018669570581385,0.013058909871386026,0.014986111111112282,-1.7233025967236546,-0.0008755258425190223,0.7186003867443828,0.08559183312438316,0.36894249628135733,0.12507092603703726,0.0453511650019586,-0.011105998018743297,-5.551115123125783e-17,0.0,0.10350416666666618,0.0011976282599665288,-1.026304918246417,-0.07769480822953298,1.4474938523497243,0.24987582431717578
Sleep_naptime,0.0,0.004546014512500347,-0.00028687458534252126,-0.10165276610115918,,0.0,,,-0.056707325388913654,0.0034518765565324967,0.32028729817664514,0.047970287325246115,-0.45401341423749536,0.0,0.0,,-0.08327739324194795,,,-0.2185540465771027,,0.041625000000004575,0.0,,0.18507862648648812,0.05925925925925816,,-0.02843322255573307,0.000974294636449205,2.162904005323545,,0.4178393442286117,0.0,,,-0.07930686873784365,,0.034156861315399516
Connect_grouptime,0.0,0.017300706104295415,0.01156150609242875,0.03606675683786385,-0.5690492788371208,,,,,-0.0019406191582740165,-0.010386737981108674,0.017416990491128666,,0.0,0.0,-0.1806441358024677,0.26353400485621337,,,0.018579763922418776,,0.0,,-0.0025713571703605597,0.5631113643623459,0.2999999999999999,0.6105724164767443,0.17823548664473768,,,,0.39144838221048184,-0.04291111111111168,,0.0,2.814335430000956,,
past_day_exercise_moderate,0.0,0.03740568931720999,1.6414735341498188,0.0691006921255263,3.1506176346922237,0.0,-0.37318020026911886,-1.0702847001841,-0.744520930354549,-0.0004087234915558763,0.006592101208804491,0.21555512164910418,0.2751984952113204,0.0,0.0,0.560700123456791,0.9473687791387561,,-0.002268860993268214,-0.18360717246943445,,3.476293749999999,,,-0.033999427522693526,-1.378243150127821,1.2181148386362026,0.8197666045208071,-0.2569192614615493,0.6064954856738687,-0.26315736980373355,,,0.008375388771121024,2.0679441660951614,-0.24514912371887856,-1.1301082723700118,1.1425747768328853
